H0101,Экспертный,0.8,Программа получает большое число данных от сервера Yandex Music 
H0102,Экспертный,0.8,Все ошибки можно обработать.
H0103,Экспертный,0.3,При несоответствии данных полученных с серверов Яндекса или при отключении интернета приложение вылетит
H0104,Экспертный,0.2,Используется ручное тестирование
H0105,Экспертный,1,Полнота входных данных контролируется
H0106,Экспертный,0.8,"Контроль происходит в основном на стороне сервера Яндекса, т.к. в приложении не вводятся данные, которые необходимо проверять на корректность"
H0107,Экспертный,0.8,Контроль происходит на стороне сервера
Н0302,Экспертный,0.7,В случае некорректных вычислений приложение автоматически обходит их
H0401,Экспертный,0.8,
Н0501,Расчетный,1,Среднее время восстановления меньше допустимого
H0502,Расчетный,1,"Выходные данные загружаются меньше чем за секунду, как при первой, так и при последующей загрузке."
